Firm_Name;Year;Year -1;Industry;ESG-SCORE;E-SCORE;S-SCORE;G-SCORE
3M Co;2008;2007;Industrial Conglomerates;82.80568812;80.27383367;80.25740651;88.59411593
3M Co;2009;2008;Industrial Conglomerates;84.75224961;84.39542484;85.85680751;83.86438852
3M Co;2010;2009;Industrial Conglomerates;83.57786458;88.67647059;83.46830986;78.02168716
3M Co;2011;2010;Industrial Conglomerates;88.38576494;90.86357947;86.79952053;87.46989553
3M Co;2012;2011;Industrial Conglomerates;88.55712716;90.57623049;89.3360161;85.39974779
3M Co;2013;2012;Industrial Conglomerates;87.58078012;90.44117647;93.13380282;77.92878729
3M Co;2014;2013;Industrial Conglomerates;86.65344879;88.23529412;91.83927092;78.85412333
3M Co;2015;2014;Industrial Conglomerates;88.05086818;89.81900452;89.40953413;84.49843286
3M Co;2016;2015;Industrial Conglomerates;84.77024124;90.44117647;89.52790819;72.91093058
3M Co;2017;2016;Industrial Conglomerates;87.49566457;90.0802139;91.76696543;79.6430135
Abbott Laboratories;2008;2007;Pharmaceuticals;71.56797406;52.4909964;94.40931302;66.24829235
Abbott Laboratories;2009;2008;Pharmaceuticals;76.57354544;60.47794118;97.74899396;69.86935273
Abbott Laboratories;2010;2009;Pharmaceuticals;75.01588542;58.36397059;98.56954225;66.16376366
Abbott Laboratories;2011;2010;Pharmaceuticals;74.69660436;56.18964004;95.51187723;71.09970601
Abbott Laboratories;2012;2011;Pharmaceuticals;76.95554487;48.29963235;96.25880282;86.43211433
Abbott Laboratories;2013;2012;Pharmaceuticals;75.6205679;46.40522876;92.7788956;88.21731863
Abbott Laboratories;2014;2013;Pharmaceuticals;76.33685037;46.82539683;94.52269171;88.06773737
Abbott Laboratories;2015;2014;Pharmaceuticals;72.43927774;47.33031674;94.61538462;74.61806068
Abbott Laboratories;2016;2015;Pharmaceuticals;79.24356922;54.39691028;94.25949637;89.46392956
Abbott Laboratories;2017;2016;Pharmaceuticals;82.40722016;59.60207612;95.81607291;92.2223226
AbbVie Inc;2015;2014;Pharmaceuticals;67.87167167;65.6372549;81.98748044;53.93262115
AbbVie Inc;2016;2015;Pharmaceuticals;69.12978268;70.68915802;85.54957194;48.27990466
AbbVie Inc;2017;2016;Pharmaceuticals;77.12957986;79.91095521;90.35405091;58.63661318
Advanced Micro Devices Inc;2008;2007;Semiconductors & Semiconductor Equipment;68.01503414;83.96770473;83.30571665;32.43437744
Advanced Micro Devices Inc;2009;2008;Semiconductors & Semiconductor Equipment;66.26032864;74.09313725;83.86150235;37.04206111
Advanced Micro Devices Inc;2010;2009;Semiconductors & Semiconductor Equipment;67.04577206;73.70242215;82.38400994;41.77254098
Advanced Micro Devices Inc;2011;2010;Semiconductors & Semiconductor Equipment;78.90579882;73.66727941;89.15052817;72.82126663
Advanced Micro Devices Inc;2012;2011;Semiconductors & Semiconductor Equipment;75.16036394;76.85009488;87.70255944;58.67843632
Advanced Micro Devices Inc;2013;2012;Semiconductors & Semiconductor Equipment;72.24026283;73.63892365;73.45669763;69.26524962
Advanced Micro Devices Inc;2014;2013;Semiconductors & Semiconductor Equipment;77.77109271;75.03095975;79.14751668;79.2235999
Advanced Micro Devices Inc;2015;2014;Semiconductors & Semiconductor Equipment;75.42434961;77.198302;81.69014085;66.15385878
Advanced Micro Devices Inc;2016;2015;Semiconductors & Semiconductor Equipment;85.31161491;79.93154158;83.72389509;93.15707545
Advanced Micro Devices Inc;2017;2016;Semiconductors & Semiconductor Equipment;81.8227567;81.53462998;83.30304407;80.42098972
Aetna Inc;2008;2007;Healthcare Providers & Services;76.24806548;55.74229692;86.1971831;87.5268345
Aetna Inc;2009;2008;Healthcare Providers & Services;71.44994409;68.57341362;78.56825995;66.37131532
Aetna Inc;2010;2009;Healthcare Providers & Services;75.513382;72.72434521;73.57869847;80.87431694
Aetna Inc;2011;2010;Healthcare Providers & Services;69.77641626;73.081418;72.29736032;63.15793845
Aetna Inc;2014;2013;Healthcare Providers & Services;72.30043487;67.44098913;68.45339553;82.19522343
Aetna Inc;2016;2015;Healthcare Providers & Services;70.43555414;56.1546841;74.71123035;81.37860583
Aetna Inc;2017;2016;Healthcare Providers & Services;74.00905134;61.97183099;67.64530847;94.83457147
Aflac Inc;2008;2007;Insurance;54.99880952;54.84593838;82.36083166;23.32162373
Aflac Inc;2009;2008;Insurance;56.85759769;55.03705419;80.83065321;30.98399138
Aflac Inc;2010;2009;Insurance;64.44147278;67.60412194;84.02385114;38.12329235
Aflac Inc;2011;2010;Insurance;63.7476214;69.45851188;86.30724746;31.12345741
Aflac Inc;2012;2011;Insurance;66.035;74.94117647;85.70422535;33.21311475
Aflac Inc;2013;2012;Insurance;65.847612;72.72639319;83.42753892;37.71758032
